!sava-hardening-baseline-schema,1
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,lambda$handleActivePendingSubscriptions$0,ConditionalsBoundaryMutator,SURVIVED # strict wire ordinal # line 2835
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,lambda$onWholeMessage$0,ConditionalsBoundaryMutator,SURVIVED # strict wire ordinal # line 2303
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,lambda$ownBuild$0,RemoveConditionalMutator_EQUAL_IF,SURVIVED # ignored null completion # line 748
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,lambda$releaseChannelSlot$0,RemoveConditionalMutator_EQUAL_IF,SURVIVED # identity-owned registry slot # line 1300
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,lambda$sendSubscription$1,NullReturnValsMutator,SURVIVED # private-tail normalization # line 2907
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,logsSubscribe,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # redundant outer duplicate guard # line 1456
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onText,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # equivalent buffer copy # line 2725
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,ConditionalsBoundaryMutator,SURVIVED # positive request-id domain # line 2137
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,ConditionalsBoundaryMutator,SURVIVED # saturated-add equality # line 2206
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,ConditionalsBoundaryMutator,SURVIVED # strict wire ordinal # line 2289
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,ConditionalsBoundaryMutator,SURVIVED # strict wire ordinal # line 2405
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # disjoint registry phases # line 2429
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # pruned empty registry # line 2497
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,RemoveConditionalMutator_EQUAL_IF,SURVIVED # unique-member rescan # line 2587
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,onWholeMessage,RemoveConditionalMutator_ORDER_IF,SURVIVED # positive request-id domain # line 2137
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,queueSubscription,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1145
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,queueSubscription,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1151
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,queueSubscription,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1210
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,queueSubscription,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1216
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,queueSubscription,BooleanTrueReturnValsMutator,SURVIVED # literal return equivalent # line 1169
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,queueSubscription,BooleanTrueReturnValsMutator,SURVIVED # literal return equivalent # line 1236
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,queueUnsubscribe,BooleanTrueReturnValsMutator,SURVIVED # literal return equivalent # line 1406
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,queueUnsubscribe,RemoveConditionalMutator_EQUAL_IF,SURVIVED # subId-owner invariant # line 1358
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,recordFailedPing,RemoveConditionalMutator_EQUAL_IF,SURVIVED # retired-state write # line 3135
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,recordFailedPing,RemoveConditionalMutator_EQUAL_IF,SURVIVED # ping-state invariant # line 3135
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,releaseChannelSlot,RemoveConditionalMutator_EQUAL_IF,SURVIVED # null-channel type invariant # line 1298
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,releaseChannelSlot,RemoveConditionalMutator_EQUAL_IF,SURVIVED # identity-owned registry slot # line 1321
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,releaseChannelSlot,RemoveConditionalMutator_EQUAL_IF,SURVIVED # identity-owned registry slot # line 1326
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,rootSubscribe,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1702
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,rootSubscribe,BooleanTrueReturnValsMutator,SURVIVED # literal return equivalent # line 1716
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,rootUnsubscribe,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1729
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,rootUnsubscribe,BooleanTrueReturnValsMutator,SURVIVED # literal return equivalent # line 1732
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,sendUnSubscriptionLockHeld,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # prechecked in-flight gate # line 1973
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,skipToParams,RemoveConditionalMutator_EQUAL_IF,SURVIVED # unique-member rescan # line 320
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,slotSubscribe,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1660
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,slotSubscribe,BooleanTrueReturnValsMutator,SURVIVED # literal return equivalent # line 1674
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,slotUnsubscribe,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1687
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,slotUnsubscribe,BooleanTrueReturnValsMutator,SURVIVED # literal return equivalent # line 1690
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,subscribe,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1776
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,subscribe,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1781
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,subscribe,BooleanTrueReturnValsMutator,SURVIVED # literal return equivalent # line 1810
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,subscribe,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # compute-if-absent convergence # line 1793
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,unsubscribe,BooleanFalseReturnValsMutator,SURVIVED # literal return equivalent # line 1846
software.sava.rpc.json.http.ws.SolanaJsonRpcWebsocket,unsubscribe,BooleanTrueReturnValsMutator,SURVIVED # literal return equivalent # line 1843
